date,region,category,product,units,revenue,cost
2024-01-05,東京,電子機器,スマートフォン,42,2604000,1680000
2024-01-05,東京,電子機器,ノートPC,18,2880000,1980000
2024-01-05,東京,家電,冷蔵庫,9,630000,405000
2024-01-05,大阪,電子機器,スマートフォン,35,2170000,1400000
2024-01-05,大阪,家電,洗濯機,12,720000,480000
2024-01-12,東京,電子機器,スマートフォン,55,3410000,2200000
2024-01-12,東京,電子機器,タブレット,24,1440000,960000
2024-01-12,名古屋,電子機器,ノートPC,15,2400000,1650000
2024-01-12,名古屋,家電,エアコン,8,640000,400000
2024-01-19,東京,電子機器,スマートフォン,48,2976000,1920000
2024-01-19,大阪,電子機器,スマートフォン,40,2480000,1600000
2024-01-19,大阪,電子機器,タブレット,20,1200000,800000
2024-01-19,福岡,家電,冷蔵庫,6,420000,270000
2024-01-26,東京,電子機器,ノートPC,22,3520000,2420000
2024-01-26,東京,家電,洗濯機,15,900000,600000
2024-01-26,名古屋,電子機器,スマートフォン,30,1860000,1200000
2024-02-02,東京,電子機器,スマートフォン,60,3720000,2400000
2024-02-02,東京,電子機器,タブレット,28,1680000,1120000
2024-02-02,大阪,電子機器,ノートPC,12,1920000,1320000
2024-02-02,大阪,家電,エアコン,10,800000,500000
2024-02-09,東京,電子機器,スマートフォン,52,3224000,2080000
2024-02-09,名古屋,電子機器,スマートフォン,38,2356000,1520000
2024-02-09,名古屋,家電,冷蔵庫,7,490000,315000
2024-02-09,福岡,電子機器,タブレット,16,960000,640000
2024-02-16,東京,電子機器,ノートPC,20,3200000,2200000
2024-02-16,大阪,電子機器,スマートフォン,45,2790000,1800000
2024-02-16,大阪,家電,洗濯機,9,540000,360000
2024-02-23,東京,電子機器,スマートフォン,65,4030000,2600000
2024-02-23,東京,家電,エアコン,14,1120000,700000
2024-02-23,名古屋,電子機器,タブレット,22,1320000,880000
2024-03-01,東京,電子機器,スマートフォン,70,4340000,2800000
2024-03-01,東京,電子機器,ノートPC,25,4000000,2750000
2024-03-01,大阪,電子機器,スマートフォン,50,3100000,2000000
2024-03-01,福岡,電子機器,スマートフォン,28,1736000,1120000
